month,obs_pf,obs_pv
2014-04,16,53
2014-05,20,54
2014-06,19,51
2014-07,16,58
2014-08,12,32
2014-09,15,27
2014-10,19,33
2014-11,26,45
2014-12,55,53
2015-01,75,78
2015-02,30,51
2015-03,12,41
2015-04,7,34
2015-05,8,34
2015-06,11,34
2015-07,11,28
2015-08,4,36
2015-09,8,29
2015-10,16,33
2015-11,20,34
2015-12,11,28
2016-01,24,45
2016-02,36,51
2016-03,30,47
2016-04,15,41
2016-05,16,32
2016-06,15,22
2016-07,13,28
2016-08,11,22
2016-09,8,22
2016-10,11,27
2016-11,10,29
2016-12,13,24
2017-01,15,26
2017-02,20,40
2017-03,24,51
2017-04,36,68
2017-05,15,53
2017-06,12,48
2017-07,9,39
2017-08,14,43
2017-09,23,52
2017-10,21,48
2017-11,19,63
2017-12,11,65
2018-01,15,36
2018-02,7,31
2018-03,10,40
2018-04,10,29
2018-05,9,31
2018-06,9,23
2018-07,6,27
2018-08,5,25
2018-09,4,16
2018-10,10,20
2018-11,4,29
2018-12,5,33
2019-01,6,32
2019-02,2,22
2019-03,3,15
2019-04,4,12
2019-05,3,17
2019-06,2,17
2019-07,2,17
2019-08,1,13
2019-09,4,19
2019-10,5,19
2019-11,2,16
2019-12,3,17
2020-01,0,19
2020-02,0,22
2020-03,0,11
